"","cohen.D","tstat","df","raw","fdr","bonferroni","n","p0.05"
"L_bankssts_thickavg",-0.00377204782290601,-0.0169412278175177,76.8890038592255,0.9865273862971,0.9865273862971,1,79,FALSE
"L_caudalanteriorcingulate_thickavg",0.213327969778676,0.954775327555712,73.0218198264869,0.342841456816636,0.86697021492569,1,79,FALSE
"L_caudalmiddlefrontal_thickavg",-0.196153367583878,-0.880452933666182,76.9947510115499,0.381353994242762,0.86697021492569,1,79,FALSE
"L_cuneus_thickavg",-0.0559166167353883,-0.251188495539731,76.7728484265046,0.802339484221782,0.954919044060266,1,79,FALSE
"L_entorhinal_thickavg",-0.123189524592966,-0.551057085949906,71.602112556805,0.583310002391068,0.928280399523925,1,79,FALSE
"L_fusiform_thickavg",0.132471905235892,0.593470162497935,75.124238720617,0.554649219576379,0.928280399523925,1,79,FALSE
"L_inferiorparietal_thickavg",-0.505070568105041,-2.27133887270907,75.53564825169,0.025974809328995,0.453281321389236,1,79,FALSE
"L_inferiortemporal_thickavg",0.275803124826395,1.23405897966283,72.3251584503513,0.221175917761133,0.862041120872482,1,79,FALSE
"L_isthmuscingulate_thickavg",0.134341486885781,0.604770654449865,73.4271766786608,0.547195795322344,0.928280399523925,1,79,FALSE
"L_lateraloccipital_thickavg",-0.256981384012401,-1.14850519905016,68.8372665787734,0.254735438474796,0.862041120872482,1,79,FALSE
"L_lateralorbitofrontal_thickavg",0.259739634791499,1.1692141008258,73.5641171229355,0.246092007948231,0.862041120872482,1,79,FALSE
"L_lingual_thickavg",-0.25022541975663,-1.12292778068156,76.9541221236459,0.26495936536836,0.862041120872482,1,79,FALSE
"L_medialorbitofrontal_thickavg",0.157039187406617,0.704140782516059,76.3729802428282,0.483486622519897,0.928280399523925,1,79,FALSE
"L_middletemporal_thickavg",0.589497393100723,2.64881865858609,76.5754690853933,0.00980593423586898,0.333401764019545,0.666803528039091,79,FALSE
"L_parahippocampal_thickavg",0.0801777749030398,0.359785854987357,76.9314082808084,0.719993069690568,0.941529398826128,1,79,FALSE
"L_paracentral_thickavg",-0.199991612721038,-0.89696355870794,76.6180428109523,0.372548144731506,0.86697021492569,1,79,FALSE
"L_parsopercularis_thickavg",0.273695200869895,1.22648516130247,75.5908766112306,0.223822933979552,0.862041120872482,1,79,FALSE
"L_parsorbitalis_thickavg",0.503357221843947,2.25975437003187,76.9979669512826,0.0266636071405433,0.453281321389236,1,79,FALSE
"L_parstriangularis_thickavg",-0.0277338119560594,-0.124863371761986,73.172615609012,0.900974118856444,0.954919044060266,1,79,FALSE
"L_pericalcarine_thickavg",0.0822820277837464,0.368096643490925,71.8225244610466,0.713883825188469,0.941529398826128,1,79,FALSE
"L_postcentral_thickavg",-0.340656238390209,-1.53140434538925,76.0619439747783,0.129818269194221,0.862041120872482,1,79,FALSE
"L_posteriorcingulate_thickavg",0.323748438590837,1.4510262127554,75.8421535891242,0.150896296491472,0.862041120872482,1,79,FALSE
"L_precentral_thickavg",-0.218017142610747,-0.979233757943868,76.8576380336096,0.330536845241803,0.86697021492569,1,79,FALSE
"L_precuneus_thickavg",-0.251645054302103,-1.1298696597718,76.982618387913,0.26203935845317,0.862041120872482,1,79,FALSE
"L_rostralanteriorcingulate_thickavg",0.0246126687777231,0.109935004216898,66.8541375585643,0.912790262704666,0.954919044060266,1,79,FALSE
"L_rostralmiddlefrontal_thickavg",0.0966592258826739,0.434702968520522,75.4625456742846,0.665018622253987,0.941529398826128,1,79,FALSE
"L_superiorfrontal_thickavg",0.115793325264271,0.519326820221227,76.6067818327468,0.605030079168131,0.928280399523925,1,79,FALSE
"L_superiorparietal_thickavg",-0.63763345666829,-2.86091452552208,76.8772042768184,0.00543774829091893,0.333401764019545,0.369766883782488,79,FALSE
"L_superiortemporal_thickavg",0.160874412999832,0.722073776388908,76.9905292775357,0.472436598333601,0.928280399523925,1,79,FALSE
"L_supramarginal_thickavg",-0.26254562399373,-1.18237434172217,72.4277796895023,0.240924336548607,0.862041120872482,1,79,FALSE
"L_frontalpole_thickavg",-0.0372459089970423,-0.166743709967642,73.6756613704793,0.868028498516106,0.954919044060266,1,79,FALSE
"L_temporalpole_thickavg",0.184587130289103,0.826947104974066,75.1292364289277,0.410885822738754,0.901297933749524,1,79,FALSE
"L_transversetemporal_thickavg",-0.0356203887957876,-0.159681520394172,76.1168294870126,0.873554932951994,0.954919044060266,1,79,FALSE
"L_insula_thickavg",0.286552145064674,1.28077149373619,69.1126769560891,0.204555326536872,0.862041120872482,1,79,FALSE
"R_bankssts_thickavg",0.425448820742872,1.91303215094037,75.7332405781632,0.0595242145709583,0.674607765137527,1,79,FALSE
"R_caudalanteriorcingulate_thickavg",0.150302291600187,0.673568750901843,75.666848529659,0.502637842218711,0.928280399523925,1,79,FALSE
"R_caudalmiddlefrontal_thickavg",-0.248770535142285,-1.12051391214035,71.9983531316298,0.266218581445914,0.862041120872482,1,79,FALSE
"R_cuneus_thickavg",0.130912563397816,0.588038955684668,76.8210700129164,0.558230925532649,0.928280399523925,1,79,FALSE
"R_entorhinal_thickavg",0.0431108296279305,0.193470543379847,76.959404105441,0.84710018902953,0.954919044060266,1,79,FALSE
"R_fusiform_thickavg",0.0530605342960424,0.237560868833665,73.8471267590328,0.812879559440192,0.954919044060266,1,79,FALSE
"R_inferiorparietal_thickavg",-0.266242752118499,-1.19938968200742,71.5795221170452,0.234331660625625,0.862041120872482,1,79,FALSE
"R_inferiortemporal_thickavg",0.106021854627432,0.476917662411378,75.0652740252123,0.634806267205787,0.928280399523925,1,79,FALSE
"R_isthmuscingulate_thickavg",0.064574063087683,0.288946444562563,72.4631122353218,0.773447381149018,0.954919044060266,1,79,FALSE
"R_lateraloccipital_thickavg",-0.0490179749621301,-0.219860022241421,76.670016625444,0.826564505358814,0.954919044060266,1,79,FALSE
"R_lateralorbitofrontal_thickavg",0.251955157950765,1.13022959289517,76.7577140332477,0.26189889037082,0.862041120872482,1,79,FALSE
"R_lingual_thickavg",-0.150693336792429,-0.675422964664401,75.8886426709372,0.501459997486929,0.928280399523925,1,79,FALSE
"R_medialorbitofrontal_thickavg",0.195517969321316,0.878367383339418,76.7246001835778,0.38248685952604,0.86697021492569,1,79,FALSE
"R_middletemporal_thickavg",0.265561556524978,1.19690888573184,70.0969929786598,0.235374391642838,0.862041120872482,1,79,FALSE
"R_parahippocampal_thickavg",0.0269328509950973,0.120928339932151,76.9801166135457,0.904062885065675,0.954919044060266,1,79,FALSE
"R_paracentral_thickavg",-0.211177292744768,-0.949166976664524,76.2825806971485,0.345533138658047,0.86697021492569,1,79,FALSE
"R_parsopercularis_thickavg",0.0868166845493098,0.390439061830681,75.4596097493561,0.697311951539618,0.941529398826128,1,79,FALSE
"R_parsorbitalis_thickavg",0.0409863842694189,0.183741993061908,76.1536639322585,0.854704229069786,0.954919044060266,1,79,FALSE
"R_parstriangularis_thickavg",-0.104187914396727,-0.467307397230514,76.6598962625356,0.641605570259183,0.928280399523925,1,79,FALSE
"R_pericalcarine_thickavg",0.108893413918708,0.488860982170485,76.9981297201852,0.626329697160883,0.928280399523925,1,79,FALSE
"R_postcentral_thickavg",-0.238850863904262,-1.07524383659307,73.4294839597559,0.285785977026294,0.86697021492569,1,79,FALSE
"R_posteriorcingulate_thickavg",0.00464148425000927,0.0208424108740639,76.954869919455,0.983425313248652,0.9865273862971,1,79,FALSE
"R_precentral_thickavg",-0.214880389606498,-0.961303192512418,71.8656593842175,0.339623072389906,0.86697021492569,1,79,FALSE
"R_precuneus_thickavg",-0.174795164137021,-0.781085528846393,68.3641677546581,0.43744869271002,0.928280399523925,1,79,FALSE
"R_rostralanteriorcingulate_thickavg",0.0629276463508581,0.282489052917907,76.9999641064967,0.778326498342291,0.954919044060266,1,79,FALSE
"R_rostralmiddlefrontal_thickavg",-0.32817420127115,-1.46838766588839,72.3224255024058,0.146335059072755,0.862041120872482,1,79,FALSE
"R_superiorfrontal_thickavg",-0.0616532557088463,-0.276417021690764,76.2636585803946,0.782975516823882,0.954919044060266,1,79,FALSE
"R_superiorparietal_thickavg",-0.440111294986506,-1.9794367470746,75.3470398786035,0.0514200575329876,0.674607765137527,1,79,FALSE
"R_superiortemporal_thickavg",0.0202772476527354,0.091007237599574,76.9801421685866,0.927723236002925,0.955836061336347,1,79,FALSE
"R_supramarginal_thickavg",-0.120102969666205,-0.538875829984534,76.8784921562271,0.591529615828394,0.928280399523925,1,79,FALSE
"R_frontalpole_thickavg",-0.123686816598907,-0.553220818737487,71.2874944646521,0.581843084837941,0.928280399523925,1,79,FALSE
"R_temporalpole_thickavg",0.0826766838266578,0.369924173643285,72.2814800501128,0.712520673149365,0.941529398826128,1,79,FALSE
"R_transversetemporal_thickavg",0.201449905926143,0.899622555631667,66.1723877973294,0.371583353730846,0.86697021492569,1,79,FALSE
"R_insula_thickavg",0.135772956826426,0.606524578143771,67.3165208166787,0.546206559019557,0.928280399523925,1,79,FALSE
